scrapes.PlayerUnderstat.id,scrapes.PlayerUnderstat.us_player_id,scrapes.PlayerUnderstat.us_player_name,scrapes.PlayerUnderstat.us_position,scrapes.PlayerUnderstat.us_team,scrapes.PlayerUnderstat.us_season,scrapes.PlayerUnderstat.us_comp,scrapes.PlayerUnderstat.us_key_passes,scrapes.PlayerUnderstat.us_xGChain,scrapes.PlayerUnderstat.us_xGBuildup,scrapes.PlayerUnderstat.us_key_passes_90,scrapes.PlayerUnderstat.us_xGChain_90,scrapes.PlayerUnderstat.us_xGBuildup_90,scrapes.PlayerUnderstat.scrape_job,scrapes.PlayerUnderstat.created_data
392d55df-d62f-429e-b190-d2c6e3858b61,1129,Suso,F M S,Sevilla,2021-2022,La Liga,4,2.0492698699235916,1.7913070414215326,0.9022556390977443,0.4622413240429154,0.40405421986951867,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.483897+00:00
264cd908-8b25-4e6b-b346-29b1177362c2,2122,Joan Jordan,M S,Sevilla,2021-2022,La Liga,24,9.86183019541204,8.227475537918508,0.8440797186400937,0.3468404523591573,0.28936021821518787,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.491054+00:00
a4b6a96a-d1b0-4b43-80c7-4ce852b93aad,3388,Karim Rekik,D S,Sevilla,2021-2022,La Liga,5,3.181044267490506,3.1687012184411287,0.41551246537396125,0.26435270920973736,0.26332697106158964,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.498284+00:00
7796b0ed-a2fd-4b41-8e10-1a6f49522fb6,6083,Ludwig Augustinsson,D M S,Sevilla,2021-2022,La Liga,9,1.583624279126525,1.2493367455899715,1.0411311053984575,0.18319561069587048,0.14452481632788874,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.504945+00:00
a52a3515-8ad3-4284-bb39-c372c7761119,6120,Bono,GK,Sevilla,2021-2022,La Liga,2,3.3738010888919234,3.0243481239303946,0.06451612903225806,0.10883229319006205,0.09755961690098047,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.511859+00:00
3f97d5e0-8fe4-4478-b11b-8fd1ff2d25e6,6224,Marko Dmitrovic,GK,Sevilla,2021-2022,La Liga,0,1.4724802020937204,1.4724802020937204,0.0,0.24541336701562008,0.24541336701562008,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.518756+00:00
7c51457f-25e1-4270-b225-ef63e54c6199,6570,Oscar Rodriguez,F M S,Sevilla,2021-2022,La Liga,5,4.529512286186218,2.943490270525217,1.0869565217391304,0.9846765839535258,0.6398891892446124,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.526190+00:00
02f16560-2919-4c51-ab37-71b6092338f2,7523,Javier Diaz,GK,Sevilla,2021-2022,La Liga,0,0.3834850490093231,0.3834850490093231,0.0,0.3834850490093231,0.3834850490093231,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.533545+00:00
ae49c8d7-db9c-48de-b988-ab9fedc8d15c,7888,Nemanja Gudelj,D M S,Sevilla,2021-2022,La Liga,2,1.355677042156458,1.2961078751832247,0.17543859649122806,0.1189190387856542,0.11369367326168639,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.542289+00:00
ee0b1465-3069-44da-9dbc-261a0f6cc5ca,8409,Juanlu Sanchez,S,Sevilla,2021-2022,La Liga,0,0.0,0.0,0.0,0.0,0.0,298bee7c-47c2-463a-89b7-5b0bdde7ff2c,2022-07-11 20:37:10.549943+00:00
